S,S,S,S,S,N,S,BOOL,S
PK,SK,yoloID,name,desc,numObjects,color,isPositive,lastUpdated
동진이공,LX2_F1N_풋레스트,0,풋레스트,풋레스트,1,#ffd6d6,1,2019-09-20T23:59:59.000Z
동진이공,LX2_F1N_홀_페달,1,홀_페달,홀_페달,1,#ffedd6,1,2019-09-20T23:59:59.000Z
동진이공,LX2_F1N_후크,2,후크,후크,3,#fffed6,1,2019-09-20T23:59:59.000Z
동진이공,LX2_F1N_폼패드_센터_좌,3,폼패드_센터_좌,폼패드_센터_좌,1,#eeffd6,1,2019-09-20T23:59:59.000Z
동진이공,LX2_F1N_PU_센터_좌,4,PU_센터_좌,PU_센터_좌,1,#e5ffd6,1,2019-09-20T23:59:59.000Z
동진이공,LX2_F1N_PU_센터_우,5,PU_센터_우,PU_센터_우,1,#d6ffe1,1,2019-09-20T23:59:59.000Z
동진이공,LX2_F1N_PU_리어_센터,6,PU_리어_센터,PU_리어_센터,1,#d6ffea,1,2019-09-20T23:59:59.000Z
동진이공,LX2_F1N_PU_리어_좌1,7,PU_리어_좌1,PU_리어_좌1,1,#d6fff3,1,2019-09-20T23:59:59.000Z
동진이공,LX2_F1N_PU_리어_좌2,8,PU_리어_좌2,PU_리어_좌2,1,#d6fffc,1,2019-09-20T23:59:59.000Z
동진이공,LX2_F1N_PU_리어_우1,9,PU_리어_우1,PU_리어_우1,1,#d6faff,1,2019-09-20T23:59:59.000Z
동진이공,LX2_F1N_PU_리어_우2,10,PU_리어_우2,PU_리어_우2,1,#d6e9ff,1,2019-09-20T23:59:59.000Z
동진이공,LX2_F1N_PE_센터_소,11,PE_센터_소,PE_센터_소,2,#d6d8ff,1,2019-09-20T23:59:59.000Z
동진이공,LX2_F1N_PE_센터_중,12,PE_센터_중,PE_센터_중,1,#e6d6ff,1,2019-09-20T23:59:59.000Z
동진이공,LX2_F1N_PE_센터_대,13,PE_센터_대,PE_센터_대,2,#fcd6ff,1,2019-09-20T23:59:59.000Z
동진이공,LX2_F1N_PE_센터플로어_좌1,14,PE_센터플로어_좌1,PE_센터플로어_좌1,1,#ffd6f5,1,2019-09-20T23:59:59.000Z
동진이공,LX2_F1N_PE_센터플로어_좌2,15,PE_센터플로어_좌2,PE_센터플로어_좌2,1,#ffd6ed,1,2019-09-20T23:59:59.000Z
동진이공,LX2_F1N_PE_센터플로어_우1,16,PE_센터플로어_우1,PE_센터플로어_우1,1,#ffd6e1,1,2019-09-20T23:59:59.000Z
동진이공,LX2_F1N_PE_센터플로어_우2,17,PE_센터플로어_우2,PE_센터플로어_우2,1,#ffd6d9,1,2019-09-20T23:59:59.000Z
동진이공,LX2_F1N_홀_시트_사각,18,홀_시트_사각,홀_시트_사각,8,#f0faff,1,2019-09-20T23:59:59.000Z
동진이공,LX2_F1N_홀_시트_원,19,홀_시트_원,홀_시트_원,8,#f0fff6,1,2019-09-20T23:59:59.000Z
동진이공,LX2_F1N_홀_2열시트_마운팅,20,홀_2열시트_마운팅,홀_2열시트_마운팅,2,#fdfff0,1,2019-09-20T23:59:59.000Z
동진이공,LX2_F1N_홀_와이어링,21,홀_와이어링,홀_와이어링,2,#fff0f0,1,2019-09-20T23:59:59.000Z
동진이공,LX2_F1N_매직테이프_센터플로어,22,매직테이프_센터플로어,매직테이프_센터플로어,1,#ffffff,1,2019-09-20T23:59:59.000Z